theme;sous_theme;question;bonne_reponse;distracteur_1;distracteur_2;distracteur_3;explication;difficulte;generalite;note_verif;type_question;image_ref
world_of_warcraft;lore;Qui est le Roi-liche affronté durant l’extension Wrath of the Lich King ?;Arthas Menethil;Balnazzar;Varimathras;Tichondrius;Arthas, fusionné avec l’esprit de Ner’zhul, règne sur le Fléau depuis le Trône de glace en Norfendre.;1;3;;texte;
world_of_warcraft;lore;De quel royaume humain Arthas était-il le prince héritier ?;Lordaeron;Hurlevent;Kul Tiras;Gilnéas;Arthas était le fils du roi Terenas Menethil II, souverain de Lordaeron.;2;3;;texte;
world_of_warcraft;lore;De quelle épée maudite Arthas s’empare-t-il en Norfendre ?;Deuillegivre;Hurlesang;Sulfuras;Val’anyr;Deuillegivre (Frostmourne) dévore les âmes de ses victimes et a coûté à Arthas la sienne.;1;3;;texte;
world_of_warcraft;lore;Quel roi Arthas assassine-t-il à son retour triomphal à Lordaeron ?;Terenas Menethil;Anastérian Haut-soleil;Llane Wrynn;Genn Grisetête;Arthas transperce son propre père sur son trône, scellant la chute du royaume de Lordaeron.;2;3;;texte;
world_of_warcraft;lore;Quelle capitale elfique Arthas ravage-t-il pour ressusciter Kel’Thuzad ?;Lune-d’argent;Darnassus;Shattrath;L’Exodar;Arthas traverse Quel’Thalas et profane le Puits solaire pour ramener le nécromancien.;2;3;;texte;
world_of_warcraft;lore;Quel démon de la Légion a créé le Roi-liche à partir de l’esprit de Ner’zhul ?;Kil’jaeden;Archimonde;Sargeras;Mannoroth;Kil’jaeden enferma l’esprit du chaman orc Ner’zhul dans le Trône de glace pour en faire son arme.;3;4;;texte;
world_of_warcraft;lore;Qui est le chef de guerre de la Horde à l’époque de Classic ?;Thrall;Varok Saurcroc;Rexxar;Eitrigg;Thrall, fils de Durotan, a libéré les orcs des camps d’internement et fondé Durotar.;1;3;;texte;
world_of_warcraft;lore;De quel clan orc Thrall est-il issu ?;Le clan Loup-de-givre;Le clan Chanteguerre;Le clan Gueule-de-dragon;Le clan Rochenoire;Thrall est le fils de Durotan, chef du clan Loup-de-givre exilé dans la vallée d’Alterac.;3;4;;texte;
world_of_warcraft;lore;Qui règne sur les Réprouvés depuis la Fossoyeuse ?;Sylvanas Coursevent;Nathanos le Flétrisseur;Varimathras;L’apothicaire Faranell;L’ancienne générale elfe, devenue banshee, a libéré les morts-vivants de l’emprise du Roi-liche.;1;3;;texte;
world_of_warcraft;lore;Quelle fonction Sylvanas occupait-elle de son vivant ?;Général des forestiers de Lune-d’argent;Grande prêtresse d’Élune;Archimage de Dalaran;Capitaine de la garde de Lordaeron;Elle commandait les forestiers de Quel’Thalas et fut tuée par Arthas, qui la releva en banshee.;4;5;;texte;
world_of_warcraft;lore;Quel Aspect draconique veille sur le Rêve d’émeraude ?;Ysera;Alexstrasza;Nozdormu;Aile de mort;Ysera la Rêveuse dirige le vol vert et sommeille dans le Rêve d’émeraude.;2;4;;texte;
world_of_warcraft;lore;Quel Aspect de la magie, devenu fou, est affronté dans l’Œil de l’éternité ?;Malygos;Nozdormu;Alexstrasza;Aile de mort;Malygos déclare la guerre aux mages mortels pour reprendre le contrôle de la magie d’Azeroth.;3;4;;texte;
world_of_warcraft;lore;Quel est le nom originel d’Aile de mort, l’Aspect noir ?;Neltharion;Nefarian;Sartharion;Onyxia;Neltharion le Gardien de la terre fut corrompu par les Dieux très anciens et devint Aile de mort.;3;4;;texte;
world_of_warcraft;lore;Quel Dieu très ancien est emprisonné par les Titans sous Ulduar ?;Yogg-Saron;N’Zoth;Y’Shaarj;G’huun;Yogg-Saron, le dieu de la mort, a corrompu le gardien Loken depuis sa prison d’Ulduar.;3;4;;texte;
world_of_warcraft;lore;Quel Dieu très ancien sommeille sous le temple d’Ahn’Qiraj ?;C’Thun;N’Zoth;Y’Shaarj;G’huun;"C’Thun commande les qiraji ; son éveil provoque la guerre des Sables mouvants à Silithus.";3;4;;texte;
world_of_warcraft;lore;Quel Gardien de Tirisfal, possédé par Sargeras, a permis l’ouverture de la Porte des ténèbres ?;Medivh;Khadgar;Aegwynn;Nielas Aran;Medivh, corrompu dès sa naissance, conspira avec Gul’dan pour faire venir la Horde sur Azeroth.;3;4;;texte;
world_of_warcraft;lore;Quel démoniste orc a fondé le Conseil des Ombres et pactisé avec la Légion ?;Gul’dan;Ner’zhul;Cho’gall;Drek’Thar;Gul’dan trahit son maître Ner’zhul et livra les orcs à Kil’jaeden en échange du pouvoir gangrené.;4;5;;texte;
world_of_warcraft;lore;Quel chef de clan fut le premier orc à boire le sang de Mannoroth ?;Grommash Hurlenfer;Main-noire;Kilrogg Œil-mort;Kargath Lamepoing;"Grom Hurlenfer but le premier, liant les orcs à la Légion ; il tua plus tard Mannoroth pour les libérer.";5;5;;texte;
world_of_warcraft;lore;Qui devient secrètement le nouveau Roi-liche à la fin de Wrath of the Lich King ?;Bolvar Fordragon;Tirion Fordring;Darion Mograine;Jaina Portvaillant;Brûlé mais vivant après la porte du Courroux, Bolvar coiffe le heaume de domination pour contenir le Fléau.;3;4;;texte;
world_of_warcraft;lore;Quel demi-dieu de la nature a enseigné le druidisme à Malfurion ?;Cénarius;Malorne;Ursoc;Agamaggan;Cénarius, fils de Malorne, fit de Malfurion Hurlorage le premier druide mortel.;3;4;;texte;
world_of_warcraft;lore;Contre quelle force la guerre des Anciens fut-elle menée il y a dix mille ans ?;La Légion ardente;Le Fléau mort-vivant;L’empire qiraji;Les tribus trolls amani;Attirée par le Puits d’éternité, la Légion fut repoussée au prix de la Fracture du monde.;3;4;;texte;
world_of_warcraft;lore;Quelle reine des Bien-nés régnait lors de la guerre des Anciens ?;Azshara;Tyrande Murmevent;La prêtresse Dejahna;Shandris Plume-de-lune;"La reine Azshara laissa la Légion entrer ; engloutie, elle devint l’impératrice des nagas.";3;4;;texte;
world_of_warcraft;lore;Quelle dynastie royale régnait sur Quel’Thalas ?;Les Haut-soleil;Les Menethil;Les Wrynn;Les Portvaillant;La lignée des Haut-soleil (Sunstrider) régna d’Anastérian jusqu’au prince Kael’thas.;3;4;;texte;
world_of_warcraft;lore;Quel prince elfe de sang, rallié à la Légion, est vaincu au Donjon de la Tempête ?;Kael’thas Haut-soleil;Lor’themar Theron;Rommath;Illidan Hurlorage;"Kael’thas trahit Illidan pour servir Kil’jaeden ; il reparaît ensuite au plateau du Puits solaire.";2;4;;texte;
world_of_warcraft;lore;Quelle réplique culte Illidan lance-t-il aux héros devant le Temple noir ?;« Vous n’êtes pas prêts ! »;« Ce n’était qu’un contretemps ! »;« Vous osez venir en mon domaine ! »;« Ma vengeance est enfin complète ! »;« You are not prepared! », phrase d’ouverture de Burning Crusade devenue un mème mondial.;2;3;;texte;
world_of_warcraft;lore;Quelle gardienne a veillé sur la prison d’Illidan pendant dix mille ans ?;Maiev Chantelombre;Tyrande Murmevent;Shandris Plume-de-lune;Naisha;Maiev, geôlière d’Illidan, le traque après sa libération et assiste à sa chute au Temple noir.;4;5;;texte;
world_of_warcraft;quêtes;Dans quelle zone recherche-t-on la femme de Mankrik, quête devenue culte ?;Les Tarides;Mulgore;Les Mille pointes;Désolace;« Où est la femme de Mankrik ? » est LA question récurrente du canal général des Tarides depuis 2004.;2;4;;texte;
world_of_warcraft;quêtes;Que doit-on réunir pour la quête « Les vertes collines de Strangleronce » ?;Les pages d’un manuscrit;Des peaux de raptor;Des défenses de tigre;Des fétiches trolls;Il faut rassembler les pages éparpillées des mémoires de chasse de Hemet Nesingwary.;2;4;;texte;
world_of_warcraft;quêtes;Quel chasseur nain propose ses safaris à Strangleronce, au Nagrand puis à Sholazar ?;Hemet Nesingwary;Harrison Jones;Nat Pagle;Ajeck Rouack;"Son nom est l’anagramme d’Ernest Hemingway ; ses camps de chasse traversent les trois extensions.";2;4;;texte;
world_of_warcraft;quêtes;Sous quelle identité Onyxia s’est-elle infiltrée à la cour de Hurlevent ?;Dame Katrana Prestor;Dame Calia Menethil;Dame Mara Fordragon;Grande prêtresse Laurena;La chaîne du maréchal Windsor démasque la « conseillère Prestor » en pleine salle du trône.;4;5;;texte;
world_of_warcraft;quêtes;Qui déclenche l’attaque à la peste contre les deux factions à la porte du Courroux ?;Le grand apothicaire Putress;Varimathras;Le grand exécuteur Mortuus;L’apothicaire Faranell;Putress bombarde vivants et morts-vivants avec la nouvelle peste, prélude au coup d’État de la Fossoyeuse.;3;4;;texte;
world_of_warcraft;quêtes;Quel fils de Varok Saurcroc tombe face au Roi-liche à la porte du Courroux ?;Dranosh Saurcroc;Broxigar;Nazgrim;Ariok;"Dranosh charge le Roi-liche et voit son âme dévorée par Deuillegivre ; on le retrouve en boss d’ICC.";4;5;;texte;
world_of_warcraft;quêtes;Quel objet légendaire faut-il reforger pour ouvrir les portes d’Ahn’Qiraj ?;Le Sceptre des Sables mouvants;Le bâton d’Atiesh;L’œil de Sulfuras;Le médaillon de Karabor;Cette longue chaîne de quêtes permettait de sonner le gong lors de l’événement serveur d’ouverture.;4;5;;texte;
world_of_warcraft;quêtes;Quel gnoll fait l’objet d’un célèbre avis de recherche dans la forêt d’Elwynn ?;Hogger;Le Braillard;Gruffe;Croc-Boueux;Hogger, terreur des bas niveaux, est devenu si légendaire que des raids entiers lui furent consacrés.;1;3;;texte;
world_of_warcraft;quêtes;Dans quelle zone rencontre-t-on Linken, clin d’œil au héros de Zelda ?;Le cratère d’Un’Goro;Silithus;Féralas;La gorge des Vents brûlants;Sa chaîne de quêtes au refuge du Maréchal parodie Zelda : épée, boomerang et mémoire perdue.;5;5;;texte;
world_of_warcraft;quêtes;La disparition de quel roi lance la chaîne « Le diplomate disparu » ?;Varian Wrynn;Genn Grisetête;Anduin Wrynn;Daelin Portvaillant;Varian, enlevé en route vers Theramore, ne reprend son trône qu’au début de WotLK.;4;5;;texte;
world_of_warcraft;quêtes;Dans les Maleterres, quel fils de Tirion Fordring tente-t-on d’arracher à la Croisade écarlate ?;Taelan Fordring;Darion Mograine;Renault Mograine;Saidan Dathrohan;La quête « En rêve » s’achève sur la mort de Taelan et le retour de Tirion, futur porteur de la Porte-cendres.;4;5;;texte;
world_of_warcraft;quêtes;Quelle arme corrompue Tirion Fordring purifie-t-il à la chapelle de l’Espoir de Lumière ?;La Porte-cendres;Foudre-courroux;Hurlesang;Val’anyr;Tirion saisit la lame des mains de Darion Mograine et la purifie, brisant l’emprise du Roi-liche.;3;4;;texte;
world_of_warcraft;quêtes;Comment se nomme la nécropole où débute l’aventure des chevaliers de la mort ?;Acherus;Naxxramas;Talramas;Voltarus;Acherus, le Fort d’Ébène, survole l’enclave Écarlate durant la zone de départ des chevaliers de la mort.;3;5;;texte;
world_of_warcraft;quêtes;Quelle faction défend la chapelle de l’Espoir de Lumière face aux chevaliers de la mort du Fléau ?;L’Aube d’argent;La Croisade écarlate;L’ordre de la Main d’argent;La Croisade d’argent;La bataille tourne court : le Roi-liche est repoussé, et l’Aube fusionne ensuite dans la Croisade d’argent.;4;5;;texte;
world_of_warcraft;quêtes;Dans la Couronne de glace, que représente l’enfant fantôme Matthias Lehner ?;Ce qui reste de l’humanité d’Arthas;Un piège tendu par le Roi-liche;L’esprit d’un jeune croisé tombé;Le fils caché de Bolvar;« Matthias Lehner » est l’anagramme d’« Arthas Menethil » : il incarne l’humanité que le prince a rejetée.;5;5;;texte;
world_of_warcraft;quêtes;Quelle confrérie de bandits fait régner la terreur sur la Marche de l’Ouest ?;La Confrérie défias;Le Syndicat;La Voile sanglante;Le clan Sombrefer;Anciens artisans spoliés après la Deuxième Guerre, les Défias se sont retournés contre Hurlevent.;1;3;;texte;
world_of_warcraft;quêtes;À Shattrath, entre quelles deux factions rivales le joueur doit-il choisir ?;L’Aldor et les Clairvoyants;Les Sha’tar et le Consortium;La Kirin Tor et les Illidari;L’Expédition cénarienne et les Kurenaï;Prêtres draeneï contre elfes de sang ralliés : chaque camp offre sa terrasse, ses quêtes et ses récompenses.;2;4;;texte;
world_of_warcraft;quêtes;Quel vol de dragons du Néant rejoint-on en se déguisant en orc gueule-de-dragon ?;L’Aile-du-Néant;La Garde-du-ciel;Le vol infini;Le vol du Crépuscule;En Ombrelune, on infiltre les mines en tant qu’orc pour libérer les dragons de l’Aile-du-Néant.;5;5;;texte;
world_of_warcraft;quêtes;Que font les trolls drakkari de Zul’Drak à leurs propres dieux-animaux ?;Ils les sacrifient pour absorber leur pouvoir;Ils les offrent au Roi-liche;Ils les libèrent dans la jungle;Ils les enferment dans des idoles;Désespérés face au Fléau, les Drakkari saignent leurs loas pour s’approprier leur puissance.;4;5;;texte;
world_of_warcraft;PNJ;Quel chef de guerre dirige les taurens depuis les Pitons-du-Tonnerre à l’époque de Classic ?;Cairne Sabot-de-sang;Baine Sabot-de-sang;Magatha Totem-Sinistre;Hamuul Totem-runique;Cairne, allié historique de Thrall, a mené son peuple hors des Tarides vers Mulgore.;2;4;;texte;
world_of_warcraft;PNJ;Qui dirige les trolls sombrelances au sein de la Horde ?;Vol’jin;Sen’jin;Zul’jin;Rokhan;Vol’jin a succédé à son père Sen’jin, tué par des murlocs, et installé sa tribu en Durotar.;2;4;;texte;
world_of_warcraft;PNJ;Quel roi règne sur Forgefer ?;Magni Barbe-de-bronze;Muradin Barbe-de-bronze;Dagran Thaurissan;Falstad Marteau-hardi;Magni, aîné des trois frères Barbe-de-bronze, règne sur les nains de la montagne de Forgefer.;2;4;;texte;
world_of_warcraft;PNJ;Quel frère de Magni sillonne le monde pour la Ligue des explorateurs ?;Brann Barbe-de-bronze;Muradin Barbe-de-bronze;Kurdran Marteau-hardi;Le haut explorateur Magellas;Archéologue infatigable, Brann signe les guides d’exploration et perce les secrets des Titans à Ulduar.;3;4;;texte;
world_of_warcraft;PNJ;Quel archimage dirige la Kirin Tor de Dalaran durant Wrath of the Lich King ?;Rhonin;Khadgar;Antonidas;Modera;Rhonin, héros du roman Le Jour du dragon, succède à Antonidas, tué par Arthas lors de la chute de Dalaran.;3;5;;texte;
world_of_warcraft;PNJ;Pour quelle discipline Nat Pagle est-il célèbre dans tout Azeroth ?;La pêche;La cuisine;L’archéologie;La chasse;Le plus grand pêcheur d’Azeroth fait passer l’épreuve « Maître pêcheur » depuis son ponton d’Âprefange.;2;4;;texte;
world_of_warcraft;PNJ;Dans quelle cité le tauren Gamon se fait-il inlassablement attaquer par les joueurs ?;Orgrimmar;Les Pitons-du-Tonnerre;Cabestan;Le village de Sen’jin;Souffre-douleur de l’auberge d’Orgrimmar, Gamon est devenu un héros mémoriel de la communauté.;4;5;;texte;
world_of_warcraft;PNJ;Que vend réellement le troll Griftah dans la Basse-ville de Shattrath ?;Des amulettes sans aucun pouvoir;Des montures volantes rares;Des clés de donjons héroïques;Des recettes de cuisine légendaires;Ses talismans « anti-tornades » et autres ne font strictement rien : c’est l’arnaqueur assumé du jeu.;5;5;;texte;
world_of_warcraft;PNJ;À quel vol draconique appartient Chromie, si serviable envers les mortels ?;Le vol de bronze;Le vol rouge;Le vol vert;Le vol noir;Chronormu, alias Chromie, veille sur les lignes temporelles pour le vol de bronze de Nozdormu.;2;4;;texte;
world_of_warcraft;PNJ;Quel Grand bricoleur dirige les gnomes en exil à Forgefer ?;Gelbin Mekkanivelle;Bricolo Pleingaz;Toshley;Milhouse Tempête-de-mana;Gelbin Mekkanivelle gouverne depuis Tinkerville, après la perte de Gnomeregan.;3;4;;texte;
world_of_warcraft;PNJ;Quel ingénieur a trahi Gnomeregan en faisant irradier la cité ?;Sicco Thermojoncteur;Bricolo Pleingaz;Toshley;Milhouse Tempête-de-mana;Le mékgénieur Thermojoncteur poussa à libérer la radiation contre les troggs, condamnant la cité qu’il usurpe.;4;5;;texte;
world_of_warcraft;PNJ;Quel naaru préside aux destinées de Shattrath ?;A’dal;M’uru;K’ure;D’ore;A’dal dirige les Sha’tar depuis la terrasse de la Lumière, au cœur de la cité-refuge.;3;5;;texte;
world_of_warcraft;PNJ;Qui est le prophète millénaire qui guide les draeneï ?;Velen;Nobundo;Maraad;Ishanah;Velen fuit Argus avec les siens plutôt que de suivre Kil’jaeden et Archimonde dans la Légion.;2;4;;texte;
world_of_warcraft;PNJ;Quel Brisé sert Illidan au Temple noir tout en préparant secrètement sa chute ?;Akama;Nobundo;Olum le Sage;Maraad;Akama, chef des Ligemort cendrelangue, ouvre les portes du Temple aux héros et à Maiev.;3;5;;texte;
world_of_warcraft;PNJ;Quel archidruide remplace Malfurion, plongé dans le sommeil, à la tête des druides ?;Fandral Forte-Ramure;Hamuul Totem-runique;Broll Mantelours;Remulos;"L’arrogant Fandral dirige depuis Darnassus ; il est aussi à l’origine de l’arbre-monde Teldrassil.";4;5;;texte;
world_of_warcraft;PNJ;Sous quel nom humain le dragon rouge Korialstrasz siège-t-il au Conseil des Six ?;Krasus;Kalec;Aethas Rivesoleil;Drenden;Consort d’Alexstrasza, Korialstrasz veille sur Dalaran sous l’identité de l’archimage Krasus.;5;5;;texte;
world_of_warcraft;PNJ;Comment se nomme le roi des vrykuls, affronté au pinacle d’Utgarde ?;Ymiron;Skadi;Ingvar le Pilleur;Le prince Keleseth;Le roi Ymiron avait ordonné d’abandonner les nouveau-nés « difformes »… les futurs humains.;4;5;;texte;
world_of_warcraft;PNJ;Quel gardien titanique, corrompu par Yogg-Saron, manigance depuis les pics Foudroyés ?;Loken;Thorim;Hodir;Mimiron;"Loken a retourné les gardiens les uns contre les autres ; sa mort déclenche le signal d’Algalon.";4;5;;texte;
world_of_warcraft;PNJ;Qui commande l’offensive Chanteguerre, fer de lance de la Horde en Norfendre ?;Garrosh Hurlenfer;Varok Saurcroc;Rehgar Rageterre;Nazgrim;Le fils de Grom, promu par Thrall, dirige la conquête depuis Fort Chanteguerre en toundra Boréenne.;3;5;;texte;
world_of_warcraft;PNJ;Qui est le chef de la Confrérie défias ?;Edwin VanCleef;Bazil Thredd;Le capitaine Sanders;Cookie;Ancien maître de la guilde des maçons ayant rebâti Hurlevent, VanCleef s’est mué en seigneur du crime.;2;4;;texte;
world_of_warcraft;localisations;Quelle est la capitale des Réprouvés ?;La Fossoyeuse;Brill;Stratholme;Andorhal;La Fossoyeuse s’étend dans les cryptes creusées sous les ruines de la capitale de Lordaeron.;1;3;;texte;
world_of_warcraft;localisations;Dans quelle région aride se dresse Orgrimmar ?;Durotar;Mulgore;Les Serres-Rocheuses;Orneval;Thrall a fondé la capitale de la Horde en Durotar, terre rude nommée d’après son père Durotan.;1;4;;texte;
world_of_warcraft;localisations;Quel arbre-monde abrite Darnassus ?;Teldrassil;Nordrassil;Vordrassil;Shaladrassil;Teldrassil, planté sans bénédiction des Aspects après la Troisième Guerre, porte la cité elfe de la nuit.;2;4;;texte;
world_of_warcraft;localisations;Où Archimonde a-t-il été vaincu à la fin de la Troisième Guerre ?;Au mont Hyjal;En Quel’Thalas;À Silithus;Dans les Maleterres de l’Ouest;Les esprits ancestraux invoqués par Malfurion pulvérisent Archimonde au pied de Nordrassil.;2;3;;texte;
world_of_warcraft;localisations;Quelle cité magique flotte au-dessus de la forêt du Chant de cristal ?;Dalaran;Naxxramas;L’Exodar;Le Nexus;Déplacée depuis Hillsbrad, Dalaran survole Norfendre pour affronter Malygos et le Roi-liche.;1;4;;texte;
world_of_warcraft;localisations;Quel carrefour des Tarides est réputé pour ses attaques incessantes et ses appels à l’aide ?;La Croisée;Cabestan;Le camp Taurajo;L’avant-poste de Mor’shan;« La Croisée est attaquée ! » : le raid Alliance sur ce hameau est un rituel des serveurs JcJ.;3;5;;texte;
world_of_warcraft;localisations;Quelle ville portuaire gobeline se niche au sud de Strangleronce ?;Baie-du-Butin;Cabestan;Long-Guet;Zone 52;Bâtie sur pilotis dans une crique, Baie-du-Butin est le fief neutre du cartel Baille-Fonds.;1;3;;texte;
world_of_warcraft;localisations;Dans quel désert prospère la ville gobeline de Gadgetzan ?;Tanaris;Silithus;Les Terres ingrates;Désolace;Capitale du cartel Gentepression, Gadgetzan contrôle l’eau et le commerce de Tanaris.;2;4;;texte;
world_of_warcraft;localisations;Sur quelle île se trouve le Puits solaire ?;L’île de Quel’Danas;La forêt des Chants éternels;L’île de Brumesang;L’île de Brume-d’azur;Au nord de Quel’Thalas, Quel’Danas abrite le Puits solaire, cœur du patch final de Burning Crusade.;3;4;;texte;
world_of_warcraft;localisations;Dans quelle zone marécageuse se cache le repaire d’Onyxia ?;Le marécage d’Âprefange;Les Paluns;Le marais des Chagrins;Féralas;La couveuse noire dort dans une caverne au sud d’Âprefange, près du campement des Sabots boueux.;4;5;;texte;
world_of_warcraft;localisations;Quelle zone de Norfendre est entièrement consacrée au JcJ mondial ?;Joug-d’hiver;Les Grisonnes;La forêt du Chant de cristal;Zul’Drak;La forteresse de Joug-d’hiver change de mains à chaque bataille, ouvrant l’accès au Caveau d’Archavon.;2;4;;texte;
world_of_warcraft;localisations;Dans quelle zone se dresse la porte du Courroux ?;La Désolation des dragons;La Couronne de glace;Zul’Drak;Le fjord Hurlant;Angrathar perce le rempart sud de la Couronne de glace, à la frontière nord de la Désolation des dragons.;3;5;;texte;
world_of_warcraft;localisations;Comment s’appelle le grand temple où siègent les vols draconiques en Norfendre ?;Le temple du Repos du ver;Le temple du Repos éternel;Le sanctuaire des Ailes d’azur;Le temple du Dragon d’onyx;L’Accord du Repos du ver y coordonne, autour d’Alexstrasza, la lutte contre Malygos.;3;5;;texte;
world_of_warcraft;localisations;Dans quelle zone d’Outreterre s’élève la cité de Shattrath ?;La forêt de Terokkar;Nagrand;Le marécage de Zangar;La péninsule des Flammes infernales;La cité de la Lumière se dresse à l’ouest de la forêt de Terokkar, près du bois d’Ombrelune.;3;4;;texte;
world_of_warcraft;localisations;Dans quelle zone se dresse le Temple noir ?;La vallée d’Ombrelune;Le Raz-de-Néant;Les Tranchantes;Nagrand;L’ancien temple de Karabor, profané par les orcs puis par Illidan, domine la vallée d’Ombrelune.;2;4;;texte;
world_of_warcraft;localisations;Quel bassin luxuriant de Norfendre a été préservé par les Titans ?;Le bassin de Sholazar;La toundra Boréenne;Les Grisonnes;Le fjord Hurlant;Sanctuaire expérimental protégé par des piliers titaniques, Sholazar résiste encore au Fléau.;2;4;;texte;
world_of_warcraft;localisations;Où se trouve la chapelle de l’Espoir de Lumière ?;Les Maleterres de l’Est;Les Maleterres de l’Ouest;Les clairières de Tirisfal;Les contreforts de Hautebrande;Bastion de l’Aube d’argent, la chapelle est le seul lieu des Maleterres de l’Est jamais souillé par le Fléau.;3;4;;texte;
world_of_warcraft;localisations;Dans quelle région se dresse Zul’Aman, bastion des trolls amani ?;Les Terres fantômes;Strangleronce;Les Hinterlands;Les montagnes d’Alterac;La cité de Zul’jin, à l’est des Terres fantômes, devient un raid 10 joueurs au patch 2.3.;4;5;;texte;
world_of_warcraft;localisations;Quel vallon abrite l’abbaye où débutent les aventuriers humains ?;Comté-du-Nord;Comté-de-l’Or;Sombrecomté;Sud-Rivage;L’abbaye de Comté-du-Nord, dans la forêt d’Elwynn, forme les recrues de Hurlevent depuis 2004.;1;3;;texte;
world_of_warcraft;donjons & raids;Quel raid emblématique de Classic abrite le seigneur du feu Ragnaros ?;Le Cœur du Magma;Le repaire d’Onyxia;Zul’Gurub;Les profondeurs de Rochenoire;Premier grand raid 40 joueurs, niché sous le mont Rochenoire, culminant face à Ragnaros.;1;3;;texte;
world_of_warcraft;donjons & raids;Dans quel raid affronte-t-on Nefarian, fils d’Aile de mort ?;Le Repaire de l’Aile noire;Le pic Rochenoire;Le temple d’Ahn’Qiraj;Le repaire d’Onyxia;Au sommet du mont Rochenoire, Nefarian mène ses expériences sur les vols draconiques.;2;4;;texte;
world_of_warcraft;donjons & raids;Quel dieu sanguinaire règne sur Zul’Gurub ?;Hakkar;Zul’jin;Jin’do le Maléficieur;Le prophète Skeram;Hakkar l’Écorcheur d’âmes est à l’origine du « sang vicié », première pandémie virtuelle de l’histoire.;3;4;;texte;
world_of_warcraft;donjons & raids;Quel liche, bras droit du Roi-liche, règne sur la nécropole de Naxxramas ?;Kel’Thuzad;Le baron Vaillefendre;Gothik le Moissonneur;Noth le Porte-peste;Fondateur du Culte des Damnés, Kel’Thuzad trône au Sanctum de givre, gardé par Sapphiron.;2;4;;texte;
world_of_warcraft;donjons & raids;Quel seigneur de l’effroi Arthas poursuit-il durant l’Épuration de Stratholme ?;Mal’Ganis;Tichondrius;Anetheron;Detheroc;Ce donjon des Grottes du temps rejoue le massacre de Stratholme, bascule morale d’Arthas.;2;4;;texte;
world_of_warcraft;donjons & raids;Quel donjon Classic est une prison en plein cœur de Hurlevent ?;La Prison;Le donjon d’Ombrecroc;Gnomeregan;Le kraal de Tranchebauge;La Prison de Hurlevent est en pleine mutinerie, orchestrée en sous-main par les Défias.;2;4;Nom VF du donjon (The Stockade) à confirmer;texte;
world_of_warcraft;donjons & raids;Quel donjon se cache sous les moissons de la Marche de l’Ouest ?;Les Mortemines;Uldaman;Le Gouffre de Ragefeu;Les profondeurs de Brassenoire;Les Mortemines, QG des Défias, se terminent dans une crique cachant un galion de guerre en construction.;2;4;;texte;
world_of_warcraft;donjons & raids;Dans quelle zone se dresse la tour de Karazhan ?;La passe de Deuillevent;Le bois de la Pénombre;Le marais des Chagrins;Les Carmines;L’ancienne tour de Medivh, saturée de magie, ouvre les raids de Burning Crusade.;3;4;;texte;
world_of_warcraft;donjons & raids;Quel prince éredar attend les héros au sommet de Karazhan ?;Malchezaar;Archimonde;Kazzak;Mannoroth;Le prince Malchezaar, maître des lieux, lâche parfois Lame-tonnerre, arme légendaire convoitée.;4;5;;texte;
world_of_warcraft;donjons & raids;Quel seigneur des abîmes est retenu prisonnier sous la citadelle des Flammes infernales ?;Magtheridon;Mannoroth;Azgalor;Brutallus;Détrôné par Illidan, Magtheridon sert de réservoir de sang pour créer les fel orcs.;4;5;;texte;
world_of_warcraft;donjons & raids;Qui est le boss final de la caverne du Sanctuaire du serpent ?;Dame Vashj;Léotheras l’Aveugle;Hydross l’Instable;Le Rôdeur d’en bas;L’ancienne servante d’Azshara, ralliée à Illidan, pompe les eaux de Zangar depuis Glissecroc.;4;5;;texte;
world_of_warcraft;donjons & raids;Quel boss d’Ulduar se combat entièrement à bord de véhicules ?;Le Léviathan des flammes;Mimiron;Ignis le maître des fournaises;Le XT-002 Déconstructeur;L’assaut d’Ulduar s’ouvre sur ce char colossal, affronté en tanks et motos siège.;3;5;Nom VF du boss (Flame Leviathan) à confirmer;texte;
world_of_warcraft;donjons & raids;Comment se nomme l’observateur céleste, boss caché d’Ulduar ?;Algalon l’Observateur;Thorim;Hodir;Freya;"Envoyé des Titans, Algalon doit juger Azeroth ; le vaincre inspire son fameux « signal d’espoir ».";4;5;;texte;
world_of_warcraft;donjons & raids;Quel seigneur des cryptes conclut l’Épreuve du croisé ?;Anub’arak;Le seigneur Jaraxxus;Le Chevalier noir;Hurleglace;L’ancien roi d’Azjol-Nérub surgit sous l’arène du colisée d’Argent, effondrée par le Roi-liche.;4;5;;texte;
world_of_warcraft;donjons & raids;Quelle dragonne verte doit-on soigner, et non tuer, dans la citadelle de la Couronne de glace ?;Valithria Marcherêve;Sindragosa;Alexstrasza;Ysondre;Captive du Fléau, Valithria doit être rendue à pleine vie par les soigneurs pour être libérée.;4;5;;texte;
world_of_warcraft;donjons & raids;À quel vol draconique Sindragosa appartenait-elle de son vivant ?;Le vol bleu;Le vol rouge;Le vol vert;Le vol noir;Compagne de Malygos, la dragonne bleue fut relevée par Arthas en reine des dracoliches.;4;5;;texte;
